Class	Length	Reads
Clean_Reads	15	51435
Clean_Reads	16	60497
Clean_Reads	17	74967
Clean_Reads	18	92997
Clean_Reads	19	91036
Clean_Reads	20	101247
Clean_Reads	21	130168
Clean_Reads	22	191970
Clean_Reads	23	149961
Clean_Reads	24	164608
Clean_Reads	25	186000
Clean_Reads	26	225369
Clean_Reads	27	388318
Clean_Reads	28	750956
Clean_Reads	29	685630
Clean_Reads	30	405849
Clean_Reads	31	221918
Clean_Reads	32	160180
Clean_Reads	33	114262
Clean_Reads	34	70811
Clean_Reads	35	54264
Clean_Reads	36	45743
Clean_Reads	37	39425
Clean_Reads	38	24154
Clean_Reads	39	21297
Clean_Reads	40	24469
Clean_Reads	43	310751
Match_Genome	15	51387
Match_Genome	16	59740
Match_Genome	17	70292
Match_Genome	18	73704
Match_Genome	19	51842
Match_Genome	20	32820
Match_Genome	21	20905
Match_Genome	22	16350
Match_Genome	23	11447
Match_Genome	24	15322
Match_Genome	25	20359
Match_Genome	26	28182
Match_Genome	27	45655
Match_Genome	28	27926
Match_Genome	29	23158
Match_Genome	30	33558
Match_Genome	31	11416
Match_Genome	32	6184
Match_Genome	33	5282
Match_Genome	34	3366
Match_Genome	35	2704
Match_Genome	36	2284
Match_Genome	37	1319
Match_Genome	38	981
Match_Genome	39	1018
Match_Genome	40	1593
Match_Genome	43	27494
miRBase-miRNA_Match_Genome	15	435.00
miRBase-miRNA_Match_Genome	16	295.00
miRBase-miRNA_Match_Genome	17	433.00
miRBase-miRNA_Match_Genome	18	659.00
miRBase-miRNA_Match_Genome	19	1393.00
miRBase-miRNA_Match_Genome	20	768.00
miRBase-miRNA_Match_Genome	21	1334.00
miRBase-miRNA_Match_Genome	22	2826.00
miRBase-miRNA_Match_Genome	23	881.00
miRBase-miRNA_Match_Genome	24	545.00
miRBase-miRNA_Match_Genome	25	124.00
miRBase-miRNA_Match_Genome	26	10.00
miRBase-miRNA_Match_Genome	27	1.00
miRBase-miRNA_Match_Genome	28	14.00
miRBase-miRNA_Match_Genome	29	2.00
miRBase-miRNA_Match_Genome	30	2.00
miRBase-miRNA_Match_Genome	31	2.00
miRBase-miRNA_Match_Genome	32	1.00
miRBase-miRNA_Match_Genome	33	1.00
miRBase-miRNA_Match_Genome	35	2.00
miRBase-miRNA_Match_Genome	36	1.00
miRBase-miRNA_Match_Genome	43	62.00
miRBase-miRNA_Unmatch_Genome	40	1.00
rRNAdb-rRNA_Match_Genome	15	1473.00
rRNAdb-rRNA_Match_Genome	16	1114.00
rRNAdb-rRNA_Match_Genome	17	1109.00
rRNAdb-rRNA_Match_Genome	18	1094.00
rRNAdb-rRNA_Match_Genome	19	730.00
rRNAdb-rRNA_Match_Genome	20	554.00
rRNAdb-rRNA_Match_Genome	21	466.00
rRNAdb-rRNA_Match_Genome	22	427.00
rRNAdb-rRNA_Match_Genome	23	379.00
rRNAdb-rRNA_Match_Genome	24	483.00
rRNAdb-rRNA_Match_Genome	25	436.00
rRNAdb-rRNA_Match_Genome	26	413.00
rRNAdb-rRNA_Match_Genome	27	327.00
rRNAdb-rRNA_Match_Genome	28	352.00
rRNAdb-rRNA_Match_Genome	29	304.00
