Class	Length	Reads
Clean_Reads	15	84686
Clean_Reads	16	94113
Clean_Reads	17	110627
Clean_Reads	18	137043
Clean_Reads	19	137809
Clean_Reads	20	141791
Clean_Reads	21	164089
Clean_Reads	22	204646
Clean_Reads	23	193690
Clean_Reads	24	215472
Clean_Reads	25	285861
Clean_Reads	26	376355
Clean_Reads	27	592260
Clean_Reads	28	1082264
Clean_Reads	29	1103654
Clean_Reads	30	765505
Clean_Reads	31	464517
Clean_Reads	32	308897
Clean_Reads	33	255158
Clean_Reads	34	183295
Clean_Reads	35	110610
Clean_Reads	36	81964
Clean_Reads	37	62470
Clean_Reads	38	40031
Clean_Reads	39	33219
Clean_Reads	40	30651
Clean_Reads	43	295334
Match_Genome	15	84610
Match_Genome	16	92650
Match_Genome	17	102345
Match_Genome	18	105368
Match_Genome	19	76065
Match_Genome	20	46580
Match_Genome	21	30906
Match_Genome	22	25731
Match_Genome	23	22635
Match_Genome	24	27211
Match_Genome	25	35091
Match_Genome	26	48127
Match_Genome	27	61421
Match_Genome	28	48297
Match_Genome	29	45363
Match_Genome	30	50329
Match_Genome	31	24803
Match_Genome	32	17132
Match_Genome	33	12281
Match_Genome	34	9609
Match_Genome	35	6129
Match_Genome	36	4285
Match_Genome	37	2463
Match_Genome	38	1595
Match_Genome	39	1398
Match_Genome	40	1562
Match_Genome	43	14080
miRBase-miRNA_Match_Genome	15	659.00
miRBase-miRNA_Match_Genome	16	414.00
miRBase-miRNA_Match_Genome	17	337.00
miRBase-miRNA_Match_Genome	18	474.00
miRBase-miRNA_Match_Genome	19	762.00
miRBase-miRNA_Match_Genome	20	466.00
miRBase-miRNA_Match_Genome	21	844.00
miRBase-miRNA_Match_Genome	22	1556.00
miRBase-miRNA_Match_Genome	23	483.00
miRBase-miRNA_Match_Genome	24	190.00
miRBase-miRNA_Match_Genome	25	39.00
miRBase-miRNA_Match_Genome	26	10.00
miRBase-miRNA_Match_Genome	27	6.00
miRBase-miRNA_Match_Genome	28	9.00
miRBase-miRNA_Match_Genome	29	4.00
miRBase-miRNA_Match_Genome	30	9.00
miRBase-miRNA_Match_Genome	32	3.00
miRBase-miRNA_Match_Genome	35	4.00
miRBase-miRNA_Match_Genome	36	1.00
miRBase-miRNA_Match_Genome	38	1.00
miRBase-miRNA_Match_Genome	43	26.00
miRBase-miRNA_Unmatch_Genome	19	2.00
miRBase-miRNA_Unmatch_Genome	23	1.00
miRBase-miRNA_Unmatch_Genome	24	1.00
miRBase-miRNA_Unmatch_Genome	40	1.00
miRBase-miRNA_Unmatch_Genome	43	2.00
rRNAdb-rRNA_Match_Genome	15	2950.00
rRNAdb-rRNA_Match_Genome	16	2549.00
rRNAdb-rRNA_Match_Genome	17	2430.00
rRNAdb-rRNA_Match_Genome	18	2349.00
rRNAdb-rRNA_Match_Genome	19	1748.00
rRNAdb-rRNA_Match_Genome	20	1286.00
rRNAdb-rRNA_Match_Genome	21	1041.00
rRNAdb-rRNA_Match_Genome	22	928.00
rRNAdb-rRNA_Match_Genome	23	822.00
rRNAdb-rRNA_Match_Genome	24	765.00
rRNAdb-rRNA_Match_Genome	25	788.00
rRNAdb-rRNA_Match_Genome	26	626.00
rRNAdb-rRNA_Match_Genome	27	561.00
rRNAdb-rRNA_Match_Genome	28	579.00
rRNAdb-rRNA_Match_Genome	29	487.00
rRNAdb-rRNA_Match_Genome	30	402.00
rRNAdb-rRNA_Match_Genome	31	352.00
rRNAdb-rRNA_Match_Genome	32	317.00
rRNAdb-rRNA_Match_Genome	33	287.00
rRNAdb-rRNA_Match_Genome	34	288.00
rRNAdb-rRNA_Match_Genome	35	251.00
rRNAdb-rRNA_Match_Genome	36	226.00
rRNAdb-rRNA_Match_Genome	37	160.00
rRNAdb-rRNA_Match_Genome	38	110.00
rRNAdb-rRNA_Match_Genome	39	162.00
rRNAdb-rRNA_Match_Genome	40	165.00
rRNAdb-rRNA_Match_Genome	43	1400.00
rRNAdb-12S-rRNA_Match_Genome	15	4.00
rRNAdb-12S-rRNA_Match_Genome	16	2.00
rRNAdb-12S-rRNA_Match_Genome	17	6.00
rRNAdb-12S-rRNA_Match_Genome	18	5.00
rRNAdb-12S-rRNA_Match_Genome	19	6.00
rRNAdb-12S-rRNA_Match_Genome	20	6.00
rRNAdb-12S-rRNA_Match_Genome	21	5.00
rRNAdb-12S-rRNA_Match_Genome	22	4.00
rRNAdb-12S-rRNA_Match_Genome	23	3.00
rRNAdb-12S-rRNA_Match_Genome	24	1.00
rRNAdb-12S-rRNA_Match_Genome	25	2.00
rRNAdb-12S-rRNA_Match_Genome	43	1.00
rRNAdb-16S-rRNA_Match_Genome	15	20.00
rRNAdb-16S-rRNA_Match_Genome	16	33.00
rRNAdb-16S-rRNA_Match_Genome	17	61.00
rRNAdb-16S-rRNA_Match_Genome	18	50.00
rRNAdb-16S-rRNA_Match_Genome	19	39.00
rRNAdb-16S-rRNA_Match_Genome	20	39.00
rRNAdb-16S-rRNA_Match_Genome	21	52.00
rRNAdb-16S-rRNA_Match_Genome	22	43.00
rRNAdb-16S-rRNA_Match_Genome	23	44.00
rRNAdb-16S-rRNA_Match_Genome	24	46.00
rRNAdb-16S-rRNA_Match_Genome	25	43.00
rRNAdb-16S-rRNA_Match_Genome	26	53.00
rRNAdb-16S-rRNA_Match_Genome	27	51.00
rRNAdb-16S-rRNA_Match_Genome	28	53.00
rRNAdb-16S-rRNA_Match_Genome	29	46.00
rRNAdb-16S-rRNA_Match_Genome	30	38.00
rRNAdb-16S-rRNA_Match_Genome	31	34.00
rRNAdb-16S-rRNA_Match_Genome	32	39.00
rRNAdb-16S-rRNA_Match_Genome	33	35.00
rRNAdb-16S-rRNA_Match_Genome	34	33.00
rRNAdb-16S-rRNA_Match_Genome	35	16.00
rRNAdb-16S-rRNA_Match_Genome	36	17.00
rRNAdb-16S-rRNA_Match_Genome	37	13.00
rRNAdb-16S-rRNA_Match_Genome	38	10.00
rRNAdb-16S-rRNA_Match_Genome	39	5.00
rRNAdb-16S-rRNA_Match_Genome	40	11.00
rRNAdb-16S-rRNA_Match_Genome	43	110.00
rRNAdb-18S-rRNA_Match_Genome	15	258.00
rRNAdb-18S-rRNA_Match_Genome	16	228.00
rRNAdb-18S-rRNA_Match_Genome	17	247.00
rRNAdb-18S-rRNA_Match_Genome	18	397.00
rRNAdb-18S-rRNA_Match_Genome	19	256.00
rRNAdb-18S-rRNA_Match_Genome	20	221.00
rRNAdb-18S-rRNA_Match_Genome	21	262.00
rRNAdb-18S-rRNA_Match_Genome	22	224.00
rRNAdb-18S-rRNA_Match_Genome	23	245.00
rRNAdb-18S-rRNA_Match_Genome	24	224.00
rRNAdb-18S-rRNA_Match_Genome	25	268.00
rRNAdb-18S-rRNA_Match_Genome	26	198.00
rRNAdb-18S-rRNA_Match_Genome	27	175.00
rRNAdb-18S-rRNA_Match_Genome	28	169.00
rRNAdb-18S-rRNA_Match_Genome	29	143.00
rRNAdb-18S-rRNA_Match_Genome	30	144.00
rRNAdb-18S-rRNA_Match_Genome	31	131.00
rRNAdb-18S-rRNA_Match_Genome	32	91.00
rRNAdb-18S-rRNA_Match_Genome	33	83.00
rRNAdb-18S-rRNA_Match_Genome	34	81.00
rRNAdb-18S-rRNA_Match_Genome	35	88.00
rRNAdb-18S-rRNA_Match_Genome	36	69.00
rRNAdb-18S-rRNA_Match_Genome	37	46.00
rRNAdb-18S-rRNA_Match_Genome	38	36.00
rRNAdb-18S-rRNA_Match_Genome	39	27.00
rRNAdb-18S-rRNA_Match_Genome	40	47.00
rRNAdb-18S-rRNA_Match_Genome	43	445.00
rRNAdb-28S-rRNA_Match_Genome	15	2267.00
rRNAdb-28S-rRNA_Match_Genome	16	2040.00
rRNAdb-28S-rRNA_Match_Genome	17	1872.00
rRNAdb-28S-rRNA_Match_Genome	18	1633.00
rRNAdb-28S-rRNA_Match_Genome	19	1241.00
rRNAdb-28S-rRNA_Match_Genome	20	836.00
rRNAdb-28S-rRNA_Match_Genome	21	563.00
rRNAdb-28S-rRNA_Match_Genome	22	485.00
rRNAdb-28S-rRNA_Match_Genome	23	403.00
rRNAdb-28S-rRNA_Match_Genome	24	354.00
rRNAdb-28S-rRNA_Match_Genome	25	332.00
rRNAdb-28S-rRNA_Match_Genome	26	273.00
rRNAdb-28S-rRNA_Match_Genome	27	236.00
rRNAdb-28S-rRNA_Match_Genome	28	274.00
rRNAdb-28S-rRNA_Match_Genome	29	196.00
rRNAdb-28S-rRNA_Match_Genome	30	157.00
rRNAdb-28S-rRNA_Match_Genome	31	117.00
rRNAdb-28S-rRNA_Match_Genome	32	122.00
rRNAdb-28S-rRNA_Match_Genome	33	100.00
rRNAdb-28S-rRNA_Match_Genome	34	112.00
rRNAdb-28S-rRNA_Match_Genome	35	89.00
rRNAdb-28S-rRNA_Match_Genome	36	73.00
rRNAdb-28S-rRNA_Match_Genome	37	77.00
rRNAdb-28S-rRNA_Match_Genome	38	41.00
rRNAdb-28S-rRNA_Match_Genome	39	40.00
rRNAdb-28S-rRNA_Match_Genome	40	71.00
rRNAdb-28S-rRNA_Match_Genome	43	494.00
rRNAdb-4.5S-rRNA_Match_Genome	15	16.00
rRNAdb-4.5S-rRNA_Match_Genome	16	27.00
rRNAdb-4.5S-rRNA_Match_Genome	17	38.00
rRNAdb-4.5S-rRNA_Match_Genome	18	69.00
rRNAdb-4.5S-rRNA_Match_Genome	19	59.00
rRNAdb-4.5S-rRNA_Match_Genome	20	44.00
rRNAdb-4.5S-rRNA_Match_Genome	21	38.00
rRNAdb-4.5S-rRNA_Match_Genome	22	34.00
rRNAdb-4.5S-rRNA_Match_Genome	23	26.00
rRNAdb-4.5S-rRNA_Match_Genome	24	26.00
rRNAdb-4.5S-rRNA_Match_Genome	25	15.00
rRNAdb-4.5S-rRNA_Match_Genome	26	28.00
rRNAdb-4.5S-rRNA_Match_Genome	27	16.00
rRNAdb-4.5S-rRNA_Match_Genome	28	14.00
rRNAdb-4.5S-rRNA_Match_Genome	29	14.00
rRNAdb-4.5S-rRNA_Match_Genome	30	14.00
rRNAdb-4.5S-rRNA_Match_Genome	31	10.00
rRNAdb-4.5S-rRNA_Match_Genome	32	6.00
rRNAdb-4.5S-rRNA_Match_Genome	33	15.00
rRNAdb-4.5S-rRNA_Match_Genome	34	13.00
rRNAdb-4.5S-rRNA_Match_Genome	35	7.00
rRNAdb-4.5S-rRNA_Match_Genome	36	7.00
rRNAdb-4.5S-rRNA_Match_Genome	37	2.00
rRNAdb-4.5S-rRNA_Match_Genome	38	6.00
rRNAdb-4.5S-rRNA_Match_Genome	39	6.00
rRNAdb-4.5S-rRNA_Match_Genome	40	10.00
rRNAdb-4.5S-rRNA_Match_Genome	43	60.00
rRNAdb-45S-rRNA_Match_Genome	15	314.00
rRNAdb-45S-rRNA_Match_Genome	16	173.00
rRNAdb-45S-rRNA_Match_Genome	17	162.00
rRNAdb-45S-rRNA_Match_Genome	18	150.00
rRNAdb-45S-rRNA_Match_Genome	19	125.00
rRNAdb-45S-rRNA_Match_Genome	20	117.00
rRNAdb-45S-rRNA_Match_Genome	21	102.00
rRNAdb-45S-rRNA_Match_Genome	22	116.00
rRNAdb-45S-rRNA_Match_Genome	23	85.00
rRNAdb-45S-rRNA_Match_Genome	24	89.00
rRNAdb-45S-rRNA_Match_Genome	25	112.00
rRNAdb-45S-rRNA_Match_Genome	26	55.00
rRNAdb-45S-rRNA_Match_Genome	27	74.00
rRNAdb-45S-rRNA_Match_Genome	28	56.00
rRNAdb-45S-rRNA_Match_Genome	29	58.00
rRNAdb-45S-rRNA_Match_Genome	30	39.00
rRNAdb-45S-rRNA_Match_Genome	31	44.00
rRNAdb-45S-rRNA_Match_Genome	32	48.00
rRNAdb-45S-rRNA_Match_Genome	33	39.00
rRNAdb-45S-rRNA_Match_Genome	34	30.00
rRNAdb-45S-rRNA_Match_Genome	35	34.00
rRNAdb-45S-rRNA_Match_Genome	36	18.00
rRNAdb-45S-rRNA_Match_Genome	37	20.00
rRNAdb-45S-rRNA_Match_Genome	38	10.00
rRNAdb-45S-rRNA_Match_Genome	39	18.00
rRNAdb-45S-rRNA_Match_Genome	40	22.00
rRNAdb-45S-rRNA_Match_Genome	43	233.00
rRNAdb-5.8S-rRNA_Match_Genome	15	42.00
rRNAdb-5.8S-rRNA_Match_Genome	16	32.00
rRNAdb-5.8S-rRNA_Match_Genome	17	30.00
rRNAdb-5.8S-rRNA_Match_Genome	18	36.00
rRNAdb-5.8S-rRNA_Match_Genome	19	8.00
rRNAdb-5.8S-rRNA_Match_Genome	21	2.00
rRNAdb-5.8S-rRNA_Match_Genome	22	1.00
rRNAdb-5.8S-rRNA_Match_Genome	23	2.00
rRNAdb-5.8S-rRNA_Match_Genome	25	3.00
rRNAdb-5.8S-rRNA_Match_Genome	26	1.00
rRNAdb-5.8S-rRNA_Match_Genome	28	1.00
rRNAdb-5.8S-rRNA_Match_Genome	29	1.00
rRNAdb-5S-rRNA_Match_Genome	15	29.00
rRNAdb-5S-rRNA_Match_Genome	16	14.00
rRNAdb-5S-rRNA_Match_Genome	17	14.00
rRNAdb-5S-rRNA_Match_Genome	18	9.00
rRNAdb-5S-rRNA_Match_Genome	19	14.00
rRNAdb-5S-rRNA_Match_Genome	20	23.00
rRNAdb-5S-rRNA_Match_Genome	21	17.00
rRNAdb-5S-rRNA_Match_Genome	22	21.00
rRNAdb-5S-rRNA_Match_Genome	23	14.00
rRNAdb-5S-rRNA_Match_Genome	24	25.00
rRNAdb-5S-rRNA_Match_Genome	25	13.00
rRNAdb-5S-rRNA_Match_Genome	26	18.00
rRNAdb-5S-rRNA_Match_Genome	27	9.00
rRNAdb-5S-rRNA_Match_Genome	28	12.00
rRNAdb-5S-rRNA_Match_Genome	29	29.00
rRNAdb-5S-rRNA_Match_Genome	30	10.00
rRNAdb-5S-rRNA_Match_Genome	31	16.00
rRNAdb-5S-rRNA_Match_Genome	32	11.00
rRNAdb-5S-rRNA_Match_Genome	33	15.00
rRNAdb-5S-rRNA_Match_Genome	34	19.00
rRNAdb-5S-rRNA_Match_Genome	35	17.00
rRNAdb-5S-rRNA_Match_Genome	36	42.00
rRNAdb-5S-rRNA_Match_Genome	37	2.00
rRNAdb-5S-rRNA_Match_Genome	38	7.00
rRNAdb-5S-rRNA_Match_Genome	39	66.00
rRNAdb-5S-rRNA_Match_Genome	40	4.00
rRNAdb-5S-rRNA_Match_Genome	43	57.00
YRNAdb-YRNA_Match_Genome	15	12.00
YRNAdb-YRNA_Match_Genome	16	9.00
YRNAdb-YRNA_Match_Genome	17	6.00
YRNAdb-YRNA_Match_Genome	18	13.00
YRNAdb-YRNA_Match_Genome	19	17.00
YRNAdb-YRNA_Match_Genome	20	31.00
YRNAdb-YRNA_Match_Genome	21	41.00
YRNAdb-YRNA_Match_Genome	22	43.00
YRNAdb-YRNA_Match_Genome	23	40.00
YRNAdb-YRNA_Match_Genome	24	45.00
YRNAdb-YRNA_Match_Genome	25	33.00
YRNAdb-YRNA_Match_Genome	26	32.00
YRNAdb-YRNA_Match_Genome	27	16.00
YRNAdb-YRNA_Match_Genome	28	12.00
YRNAdb-YRNA_Match_Genome	29	9.00
YRNAdb-YRNA_Match_Genome	30	18.00
YRNAdb-YRNA_Match_Genome	31	19.00
YRNAdb-YRNA_Match_Genome	32	22.00
YRNAdb-YRNA_Match_Genome	33	15.00
YRNAdb-YRNA_Match_Genome	34	10.00
YRNAdb-YRNA_Match_Genome	35	6.00
YRNAdb-YRNA_Match_Genome	36	7.00
YRNAdb-YRNA_Match_Genome	37	4.00
YRNAdb-YRNA_Match_Genome	38	2.00
YRNAdb-YRNA_Match_Genome	39	2.00
YRNAdb-YRNA_Match_Genome	40	4.00
YRNAdb-YRNA_Match_Genome	43	13.00
YRNAdb-RNY1-YRNA_Match_Genome	15	3.00
YRNAdb-RNY1-YRNA_Match_Genome	16	4.00
YRNAdb-RNY1-YRNA_Match_Genome	17	2.00
YRNAdb-RNY1-YRNA_Match_Genome	18	8.00
YRNAdb-RNY1-YRNA_Match_Genome	19	10.00
YRNAdb-RNY1-YRNA_Match_Genome	20	14.00
YRNAdb-RNY1-YRNA_Match_Genome	21	24.00
YRNAdb-RNY1-YRNA_Match_Genome	22	29.00
YRNAdb-RNY1-YRNA_Match_Genome	23	28.00
YRNAdb-RNY1-YRNA_Match_Genome	24	32.00
YRNAdb-RNY1-YRNA_Match_Genome	25	20.00
YRNAdb-RNY1-YRNA_Match_Genome	26	15.00
YRNAdb-RNY1-YRNA_Match_Genome	27	7.00
YRNAdb-RNY1-YRNA_Match_Genome	28	6.00
YRNAdb-RNY1-YRNA_Match_Genome	29	4.00
YRNAdb-RNY1-YRNA_Match_Genome	30	13.00
YRNAdb-RNY1-YRNA_Match_Genome	31	13.00
YRNAdb-RNY1-YRNA_Match_Genome	32	20.00
YRNAdb-RNY1-YRNA_Match_Genome	33	13.00
YRNAdb-RNY1-YRNA_Match_Genome	34	8.00
