Class	Length	Reads
Clean_Reads	15	230876
Clean_Reads	16	256813
Clean_Reads	17	290086
Clean_Reads	18	318261
Clean_Reads	19	293690
Clean_Reads	20	287722
Clean_Reads	21	323692
Clean_Reads	22	381150
Clean_Reads	23	320871
Clean_Reads	24	330424
Clean_Reads	25	384915
Clean_Reads	26	456825
Clean_Reads	27	573073
Clean_Reads	28	870243
Clean_Reads	29	854431
Clean_Reads	30	706509
Clean_Reads	31	537418
Clean_Reads	32	417859
Clean_Reads	33	366159
Clean_Reads	34	270641
Clean_Reads	35	195823
Clean_Reads	36	150715
Clean_Reads	37	115209
Clean_Reads	38	87335
Clean_Reads	39	73450
Clean_Reads	40	74686
Clean_Reads	43	356432
Match_Genome	15	230655
Match_Genome	16	253018
Match_Genome	17	267633
Match_Genome	18	245403
Match_Genome	19	163612
Match_Genome	20	96679
Match_Genome	21	63288
Match_Genome	22	48089
Match_Genome	23	36950
Match_Genome	24	40163
Match_Genome	25	46155
Match_Genome	26	57186
Match_Genome	27	57573
Match_Genome	28	49887
Match_Genome	29	45621
Match_Genome	30	47822
Match_Genome	31	30354
Match_Genome	32	22425
Match_Genome	33	18598
Match_Genome	34	15845
Match_Genome	35	12755
Match_Genome	36	9921
Match_Genome	37	6015
Match_Genome	38	3943
Match_Genome	39	3593
Match_Genome	40	4764
Match_Genome	43	40213
miRBase-miRNA_Match_Genome	15	1816.00
miRBase-miRNA_Match_Genome	16	859.00
miRBase-miRNA_Match_Genome	17	860.00
miRBase-miRNA_Match_Genome	18	1114.00
miRBase-miRNA_Match_Genome	19	1921.00
miRBase-miRNA_Match_Genome	20	1271.00
miRBase-miRNA_Match_Genome	21	2400.00
miRBase-miRNA_Match_Genome	22	3980.00
miRBase-miRNA_Match_Genome	23	1241.00
miRBase-miRNA_Match_Genome	24	581.00
miRBase-miRNA_Match_Genome	25	114.00
miRBase-miRNA_Match_Genome	26	16.00
miRBase-miRNA_Match_Genome	27	12.00
miRBase-miRNA_Match_Genome	28	13.00
miRBase-miRNA_Match_Genome	29	9.00
miRBase-miRNA_Match_Genome	30	4.00
miRBase-miRNA_Match_Genome	31	5.00
miRBase-miRNA_Match_Genome	32	3.00
miRBase-miRNA_Match_Genome	33	2.00
miRBase-miRNA_Match_Genome	34	3.00
miRBase-miRNA_Match_Genome	35	4.00
miRBase-miRNA_Match_Genome	36	7.00
miRBase-miRNA_Match_Genome	37	4.00
miRBase-miRNA_Match_Genome	38	1.00
miRBase-miRNA_Match_Genome	40	4.00
miRBase-miRNA_Match_Genome	43	68.00
miRBase-miRNA_Unmatch_Genome	19	1.00
miRBase-miRNA_Unmatch_Genome	21	1.00
miRBase-miRNA_Unmatch_Genome	22	1.00
miRBase-miRNA_Unmatch_Genome	25	4.00
miRBase-miRNA_Unmatch_Genome	26	1.00
miRBase-miRNA_Unmatch_Genome	28	2.00
miRBase-miRNA_Unmatch_Genome	30	1.00
miRBase-miRNA_Unmatch_Genome	43	1.00
rRNAdb-rRNA_Match_Genome	15	5910.00
rRNAdb-rRNA_Match_Genome	16	4899.00
rRNAdb-rRNA_Match_Genome	17	4592.00
rRNAdb-rRNA_Match_Genome	18	4108.00
rRNAdb-rRNA_Match_Genome	19	2890.00
rRNAdb-rRNA_Match_Genome	20	2274.00
rRNAdb-rRNA_Match_Genome	21	1798.00
rRNAdb-rRNA_Match_Genome	22	1659.00
rRNAdb-rRNA_Match_Genome	23	1616.00
rRNAdb-rRNA_Match_Genome	24	1385.00
rRNAdb-rRNA_Match_Genome	25	1278.00
rRNAdb-rRNA_Match_Genome	26	1123.00
rRNAdb-rRNA_Match_Genome	27	978.00
rRNAdb-rRNA_Match_Genome	28	987.00
rRNAdb-rRNA_Match_Genome	29	908.00
rRNAdb-rRNA_Match_Genome	30	808.00
rRNAdb-rRNA_Match_Genome	31	719.00
rRNAdb-rRNA_Match_Genome	32	751.00
rRNAdb-rRNA_Match_Genome	33	656.00
rRNAdb-rRNA_Match_Genome	34	640.00
rRNAdb-rRNA_Match_Genome	35	569.00
rRNAdb-rRNA_Match_Genome	36	550.00
rRNAdb-rRNA_Match_Genome	37	462.00
rRNAdb-rRNA_Match_Genome	38	309.00
rRNAdb-rRNA_Match_Genome	39	374.00
rRNAdb-rRNA_Match_Genome	40	580.00
rRNAdb-rRNA_Match_Genome	43	4044.00
rRNAdb-12S-rRNA_Match_Genome	15	29.00
rRNAdb-12S-rRNA_Match_Genome	16	23.00
rRNAdb-12S-rRNA_Match_Genome	17	16.00
rRNAdb-12S-rRNA_Match_Genome	18	21.00
rRNAdb-12S-rRNA_Match_Genome	19	28.00
rRNAdb-12S-rRNA_Match_Genome	20	14.00
rRNAdb-12S-rRNA_Match_Genome	21	9.00
rRNAdb-12S-rRNA_Match_Genome	22	14.00
rRNAdb-12S-rRNA_Match_Genome	23	8.00
rRNAdb-12S-rRNA_Match_Genome	24	5.00
rRNAdb-12S-rRNA_Match_Genome	25	4.00
