                                 Started job on |	Sep 21 10:24:56
                             Started mapping on |	Sep 21 10:25:01
                                    Finished on |	Sep 21 10:25:47
       Mapping speed, Million of reads per hour |	279.71

                          Number of input reads |	3574124
                      Average input read length |	27
                                    UNIQUE READS:
                   Uniquely mapped reads number |	94449
                        Uniquely mapped reads % |	2.64%
                          Average mapped length |	17.70
                       Number of splices: Total |	0
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	0
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.09%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.00
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.10
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	1910
             % of reads mapped to multiple loci |	0.05%
        Number of reads mapped to too many loci |	0
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.01%
                 % of reads unmapped: too short |	97.30%
                     % of reads unmapped: other |	0.00%
