Class	Length	Reads
Clean_Reads	15	160088
Clean_Reads	16	163963
Clean_Reads	17	176593
Clean_Reads	18	192330
Clean_Reads	19	164532
Clean_Reads	20	149795
Clean_Reads	21	169614
Clean_Reads	22	209107
Clean_Reads	23	167508
Clean_Reads	24	179293
Clean_Reads	25	228933
Clean_Reads	26	299670
Clean_Reads	27	453510
Clean_Reads	28	887916
Clean_Reads	29	952930
Clean_Reads	30	761434
Clean_Reads	31	517890
Clean_Reads	32	357677
Clean_Reads	33	289241
Clean_Reads	34	213616
Clean_Reads	35	126163
Clean_Reads	36	78878
Clean_Reads	37	48711
Clean_Reads	38	26575
Clean_Reads	39	21153
Clean_Reads	40	26676
Clean_Reads	43	243727
Match_Genome	15	159923
Match_Genome	16	160985
Match_Genome	17	160708
Match_Genome	18	142239
Match_Genome	19	82982
Match_Genome	20	44756
Match_Genome	21	28850
Match_Genome	22	23684
Match_Genome	23	18612
Match_Genome	24	22766
Match_Genome	25	30189
Match_Genome	26	43322
Match_Genome	27	50614
Match_Genome	28	46259
Match_Genome	29	46612
Match_Genome	30	53882
Match_Genome	31	26672
Match_Genome	32	17284
Match_Genome	33	12791
Match_Genome	34	11532
Match_Genome	35	7643
Match_Genome	36	4590
Match_Genome	37	1728
Match_Genome	38	995
Match_Genome	39	739
Match_Genome	40	742
Match_Genome	43	6145
miRBase-miRNA_Match_Genome	15	1152.00
miRBase-miRNA_Match_Genome	16	614.00
miRBase-miRNA_Match_Genome	17	585.00
miRBase-miRNA_Match_Genome	18	803.00
miRBase-miRNA_Match_Genome	19	1141.00
miRBase-miRNA_Match_Genome	20	801.00
miRBase-miRNA_Match_Genome	21	1569.00
miRBase-miRNA_Match_Genome	22	2461.00
miRBase-miRNA_Match_Genome	23	713.00
miRBase-miRNA_Match_Genome	24	315.00
miRBase-miRNA_Match_Genome	25	74.00
miRBase-miRNA_Match_Genome	26	8.00
miRBase-miRNA_Match_Genome	27	6.00
miRBase-miRNA_Match_Genome	28	3.00
miRBase-miRNA_Match_Genome	29	1.00
miRBase-miRNA_Match_Genome	30	7.00
miRBase-miRNA_Match_Genome	31	5.00
miRBase-miRNA_Match_Genome	32	3.00
miRBase-miRNA_Match_Genome	33	2.00
miRBase-miRNA_Match_Genome	34	4.00
miRBase-miRNA_Match_Genome	36	3.00
miRBase-miRNA_Match_Genome	40	1.00
miRBase-miRNA_Match_Genome	43	16.00
miRBase-miRNA_Unmatch_Genome	20	1.00
miRBase-miRNA_Unmatch_Genome	24	1.00
miRBase-miRNA_Unmatch_Genome	33	1.00
miRBase-miRNA_Unmatch_Genome	37	1.00
miRBase-miRNA_Unmatch_Genome	43	1.00
rRNAdb-rRNA_Match_Genome	15	4449.00
rRNAdb-rRNA_Match_Genome	16	3525.00
rRNAdb-rRNA_Match_Genome	17	3244.00
rRNAdb-rRNA_Match_Genome	18	3202.00
rRNAdb-rRNA_Match_Genome	19	2123.00
rRNAdb-rRNA_Match_Genome	20	1435.00
rRNAdb-rRNA_Match_Genome	21	1147.00
rRNAdb-rRNA_Match_Genome	22	955.00
rRNAdb-rRNA_Match_Genome	23	918.00
rRNAdb-rRNA_Match_Genome	24	747.00
rRNAdb-rRNA_Match_Genome	25	692.00
rRNAdb-rRNA_Match_Genome	26	577.00
rRNAdb-rRNA_Match_Genome	27	615.00
rRNAdb-rRNA_Match_Genome	28	543.00
rRNAdb-rRNA_Match_Genome	29	477.00
rRNAdb-rRNA_Match_Genome	30	395.00
rRNAdb-rRNA_Match_Genome	31	345.00
rRNAdb-rRNA_Match_Genome	32	323.00
rRNAdb-rRNA_Match_Genome	33	284.00
rRNAdb-rRNA_Match_Genome	34	274.00
rRNAdb-rRNA_Match_Genome	35	215.00
rRNAdb-rRNA_Match_Genome	36	182.00
rRNAdb-rRNA_Match_Genome	37	184.00
rRNAdb-rRNA_Match_Genome	38	94.00
rRNAdb-rRNA_Match_Genome	39	99.00
rRNAdb-rRNA_Match_Genome	40	125.00
rRNAdb-rRNA_Match_Genome	43	643.00
rRNAdb-12S-rRNA_Match_Genome	15	14.00
rRNAdb-12S-rRNA_Match_Genome	16	16.00
rRNAdb-12S-rRNA_Match_Genome	17	9.00
rRNAdb-12S-rRNA_Match_Genome	18	19.00
rRNAdb-12S-rRNA_Match_Genome	19	13.00
rRNAdb-12S-rRNA_Match_Genome	20	10.00
rRNAdb-12S-rRNA_Match_Genome	21	5.00
rRNAdb-12S-rRNA_Match_Genome	22	7.00
rRNAdb-12S-rRNA_Match_Genome	23	4.00
rRNAdb-12S-rRNA_Match_Genome	24	2.00
rRNAdb-12S-rRNA_Match_Genome	25	3.00
rRNAdb-12S-rRNA_Match_Genome	27	1.00
rRNAdb-16S-rRNA_Match_Genome	15	99.00
rRNAdb-16S-rRNA_Match_Genome	16	161.00
rRNAdb-16S-rRNA_Match_Genome	17	219.00
rRNAdb-16S-rRNA_Match_Genome	18	128.00
rRNAdb-16S-rRNA_Match_Genome	19	107.00
rRNAdb-16S-rRNA_Match_Genome	20	110.00
rRNAdb-16S-rRNA_Match_Genome	21	125.00
rRNAdb-16S-rRNA_Match_Genome	22	109.00
rRNAdb-16S-rRNA_Match_Genome	23	109.00
rRNAdb-16S-rRNA_Match_Genome	24	101.00
rRNAdb-16S-rRNA_Match_Genome	25	107.00
rRNAdb-16S-rRNA_Match_Genome	26	85.00
rRNAdb-16S-rRNA_Match_Genome	27	109.00
rRNAdb-16S-rRNA_Match_Genome	28	99.00
rRNAdb-16S-rRNA_Match_Genome	29	101.00
rRNAdb-16S-rRNA_Match_Genome	30	101.00
rRNAdb-16S-rRNA_Match_Genome	31	93.00
rRNAdb-16S-rRNA_Match_Genome	32	79.00
rRNAdb-16S-rRNA_Match_Genome	33	59.00
rRNAdb-16S-rRNA_Match_Genome	34	50.00
rRNAdb-16S-rRNA_Match_Genome	35	29.00
rRNAdb-16S-rRNA_Match_Genome	36	17.00
rRNAdb-16S-rRNA_Match_Genome	37	29.00
rRNAdb-16S-rRNA_Match_Genome	38	13.00
rRNAdb-16S-rRNA_Match_Genome	39	9.00
rRNAdb-16S-rRNA_Match_Genome	40	23.00
rRNAdb-16S-rRNA_Match_Genome	43	99.00
rRNAdb-18S-rRNA_Match_Genome	15	645.00
rRNAdb-18S-rRNA_Match_Genome	16	456.00
rRNAdb-18S-rRNA_Match_Genome	17	456.00
rRNAdb-18S-rRNA_Match_Genome	18	956.00
rRNAdb-18S-rRNA_Match_Genome	19	381.00
rRNAdb-18S-rRNA_Match_Genome	20	280.00
rRNAdb-18S-rRNA_Match_Genome	21	282.00
rRNAdb-18S-rRNA_Match_Genome	22	236.00
rRNAdb-18S-rRNA_Match_Genome	23	240.00
rRNAdb-18S-rRNA_Match_Genome	24	208.00
rRNAdb-18S-rRNA_Match_Genome	25	200.00
rRNAdb-18S-rRNA_Match_Genome	26	144.00
rRNAdb-18S-rRNA_Match_Genome	27	160.00
rRNAdb-18S-rRNA_Match_Genome	28	115.00
rRNAdb-18S-rRNA_Match_Genome	29	117.00
rRNAdb-18S-rRNA_Match_Genome	30	106.00
rRNAdb-18S-rRNA_Match_Genome	31	75.00
rRNAdb-18S-rRNA_Match_Genome	32	85.00
rRNAdb-18S-rRNA_Match_Genome	33	67.00
rRNAdb-18S-rRNA_Match_Genome	34	63.00
rRNAdb-18S-rRNA_Match_Genome	35	47.00
rRNAdb-18S-rRNA_Match_Genome	36	44.00
rRNAdb-18S-rRNA_Match_Genome	37	41.00
rRNAdb-18S-rRNA_Match_Genome	38	26.00
rRNAdb-18S-rRNA_Match_Genome	39	15.00
rRNAdb-18S-rRNA_Match_Genome	40	28.00
rRNAdb-18S-rRNA_Match_Genome	43	167.00
rRNAdb-28S-rRNA_Match_Genome	15	3165.00
rRNAdb-28S-rRNA_Match_Genome	16	2527.00
rRNAdb-28S-rRNA_Match_Genome	17	2278.00
rRNAdb-28S-rRNA_Match_Genome	18	1898.00
rRNAdb-28S-rRNA_Match_Genome	19	1455.00
rRNAdb-28S-rRNA_Match_Genome	20	928.00
rRNAdb-28S-rRNA_Match_Genome	21	630.00
rRNAdb-28S-rRNA_Match_Genome	22	499.00
