Class	Length	Reads
Clean_Reads	15	26475
Clean_Reads	16	28652
Clean_Reads	17	36549
Clean_Reads	18	45661
Clean_Reads	19	42687
Clean_Reads	20	46903
Clean_Reads	21	65255
Clean_Reads	22	110910
Clean_Reads	23	85053
Clean_Reads	24	88632
Clean_Reads	25	116310
Clean_Reads	26	153300
Clean_Reads	27	342135
Clean_Reads	28	747882
Clean_Reads	29	746566
Clean_Reads	30	538940
Clean_Reads	31	277536
Clean_Reads	32	158574
Clean_Reads	33	109250
Clean_Reads	34	71967
Clean_Reads	35	50058
Clean_Reads	36	41727
Clean_Reads	37	37104
Clean_Reads	38	19899
Clean_Reads	39	19318
Clean_Reads	40	27041
Clean_Reads	43	352964
Match_Genome	15	26452
Match_Genome	16	28225
Match_Genome	17	34100
Match_Genome	18	35351
Match_Genome	19	23577
Match_Genome	20	14532
Match_Genome	21	10047
Match_Genome	22	9213
Match_Genome	23	6822
Match_Genome	24	9904
Match_Genome	25	15702
Match_Genome	26	21890
Match_Genome	27	41406
Match_Genome	28	27334
Match_Genome	29	24529
Match_Genome	30	42648
Match_Genome	31	12963
Match_Genome	32	6133
Match_Genome	33	4534
Match_Genome	34	3381
Match_Genome	35	2268
Match_Genome	36	1772
Match_Genome	37	1041
Match_Genome	38	713
Match_Genome	39	1021
Match_Genome	40	2039
Match_Genome	43	43883
miRBase-miRNA_Match_Genome	15	215.00
miRBase-miRNA_Match_Genome	16	159.00
miRBase-miRNA_Match_Genome	17	275.00
miRBase-miRNA_Match_Genome	18	494.00
miRBase-miRNA_Match_Genome	19	1007.00
miRBase-miRNA_Match_Genome	20	497.00
miRBase-miRNA_Match_Genome	21	895.00
miRBase-miRNA_Match_Genome	22	2005.00
miRBase-miRNA_Match_Genome	23	555.00
miRBase-miRNA_Match_Genome	24	274.00
miRBase-miRNA_Match_Genome	25	83.00
miRBase-miRNA_Match_Genome	26	2.00
miRBase-miRNA_Match_Genome	28	3.00
miRBase-miRNA_Match_Genome	30	2.00
miRBase-miRNA_Match_Genome	31	5.00
miRBase-miRNA_Match_Genome	33	1.00
miRBase-miRNA_Match_Genome	35	1.00
miRBase-miRNA_Match_Genome	43	126.00
miRBase-miRNA_Unmatch_Genome	39	1.00
miRBase-miRNA_Unmatch_Genome	43	1.00
rRNAdb-rRNA_Match_Genome	15	876.00
rRNAdb-rRNA_Match_Genome	16	644.00
rRNAdb-rRNA_Match_Genome	17	648.00
rRNAdb-rRNA_Match_Genome	18	672.00
rRNAdb-rRNA_Match_Genome	19	479.00
rRNAdb-rRNA_Match_Genome	20	373.00
rRNAdb-rRNA_Match_Genome	21	342.00
rRNAdb-rRNA_Match_Genome	22	298.00
rRNAdb-rRNA_Match_Genome	23	339.00
rRNAdb-rRNA_Match_Genome	24	323.00
rRNAdb-rRNA_Match_Genome	25	422.00
rRNAdb-rRNA_Match_Genome	26	271.00
rRNAdb-rRNA_Match_Genome	27	288.00
rRNAdb-rRNA_Match_Genome	28	292.00
rRNAdb-rRNA_Match_Genome	29	276.00
rRNAdb-rRNA_Match_Genome	30	241.00
rRNAdb-rRNA_Match_Genome	31	183.00
rRNAdb-rRNA_Match_Genome	32	174.00
rRNAdb-rRNA_Match_Genome	33	142.00
rRNAdb-rRNA_Match_Genome	34	151.00
rRNAdb-rRNA_Match_Genome	35	139.00
rRNAdb-rRNA_Match_Genome	36	144.00
rRNAdb-rRNA_Match_Genome	37	132.00
rRNAdb-rRNA_Match_Genome	38	67.00
rRNAdb-rRNA_Match_Genome	39	149.00
rRNAdb-rRNA_Match_Genome	40	383.00
rRNAdb-rRNA_Match_Genome	43	4122.00
rRNAdb-12S-rRNA_Match_Genome	15	1.00
